[2026-02-25 05:00:01] started evolver loop.
[Evolver] Warning: dotenv not found or failed to load .env
[Evolver] System load 2.23 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.51 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.61 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.27 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.80 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.40 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.51 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.58 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.91 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.65 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.40 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.04 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.85 exceeds max 2. Backing off 60000ms.
[Evolver] System load 4.60 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.14 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.00 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.83 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.79 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.28 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.02 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.27 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.34 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.11 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.90 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.13 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.43 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.72 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.22 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.92 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.54 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.24 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.25 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.37 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.80 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.78 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.55 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.27 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.80 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.16 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.03 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.98 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.59 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.72 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.57 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.29 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.62 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.26 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.50 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.30 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.39 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.64 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.95 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.92 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.30 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.99 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.85 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.78 exceeds max 2. Backing off 60000ms.
[Evolver] System load 3.01 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.53 exceeds max 2. Backing off 60000ms.
[Evolver] System load 2.69 exceeds max 2. Backing off 60000ms.
[Daemon] Restarting self (cycles=100, rssMb=46)
